Ciudad,Latitud,Longitud,Fecha,Forecast,Temperatura Promedio (째C),Temperatura Maxima (째C),Temperatura Minima (째C),Precipitaci처n (mm),Nieve (cm),Humedad(%),Visibilidad (km),Velocidad Viento(m/s),Amanecer (s),Atardecer (s),Forecast Time
"Villa La Angostura, AR",-40.78,-71.67,2024-04-18,Moderate rain at times,10.1,17.2,6.4,11.78,0.0,69,9.4,23.0,08:20 AM,07:11 PM,2024-04-18 18:09
"Villa La Angostura, AR",-40.78,-71.67,2024-04-17,Cloudy,8.2,13.5,4.7,0.01,0.0,77,10.0,19.1,08:19 AM,07:12 PM,2024-04-18 18:10
"Villa La Angostura, AR",-40.78,-71.67,2024-04-16,Light rain,7.8,9.7,6.5,4.1,0.0,86,9.0,24.8,08:18 AM,07:14 PM,2024-04-18 18:10
"Villa La Angostura, AR",-40.78,-71.67,2024-04-15,Sunny,7.6,13.1,4.4,0.03,0.0,78,10.0,23.8,08:17 AM,07:15 PM,2024-04-18 18:10
"Villa La Angostura, AR",-40.78,-71.67,2024-04-14,Patchy rain possible,6.9,10.4,5.3,0.33,0.0,86,8.7,9.0,08:16 AM,07:17 PM,2024-04-18 18:10
"Villa La Angostura, AR",-40.78,-71.67,2024-04-13,Patchy rain possible,5.8,6.5,5.3,0.88,0.0,85,10.0,14.4,08:15 AM,07:19 PM,2024-04-18 18:10
"Villa La Angostura, AR",-40.78,-71.67,2024-04-12,Cloudy,4.1,8.9,0.0,0.04,0.0,76,10.0,14.4,08:14 AM,07:20 PM,2024-04-18 18:10
"Villa La Angostura, AR",-40.78,-71.67,2024-04-11,Moderate or heavy snow showers,1.6,2.3,1.1,0.98,0.47,92,9.1,15.5,08:13 AM,07:22 PM,2024-04-18 18:11
"Villa La Angostura, AR",-40.78,-71.67,2024-04-10,Sunny,5.1,9.7,1.9,0.0,0.0,49,10.0,21.2,08:12 AM,07:23 PM,2024-04-18 18:13
"Villa La Angostura, AR",-40.78,-71.67,2024-04-09,Sunny,4.7,11.8,-0.7,0.0,0.0,65,10.0,11.5,08:11 AM,07:25 PM,2024-04-18 18:11
"Villa La Angostura, AR",-40.78,-71.67,2024-04-08,Light rain shower,9.4,12.0,3.3,19.77,0.0,86,8.8,23.0,08:10 AM,07:26 PM,2024-04-18 18:11
"Villa La Angostura, AR",-40.78,-71.67,2024-04-07,Light drizzle,8.7,10.0,7.4,3.75,0.0,93,6.9,18.0,08:09 AM,07:28 PM,2024-04-18 18:11
"Villa La Angostura, AR",-40.78,-71.67,2024-04-06,Light drizzle,7.4,9.0,5.6,1.11,0.0,89,9.0,22.3,08:08 AM,07:30 PM,2024-04-18 18:14
"Villa La Angostura, AR",-40.78,-71.67,2024-04-05,Partly cloudy,8.5,15.7,3.5,0.01,0.0,80,9.3,11.9,08:07 AM,07:31 PM,2024-04-18 18:12
"Villa La Angostura, AR",-40.78,-71.67,2024-04-04,Light drizzle,6.6,8.4,5.3,2.24,0.0,92,9.0,23.8,08:06 AM,07:33 PM,2024-04-18 18:14
"Villa La Angostura, AR",-40.78,-71.67,2024-04-03,Moderate or heavy snow showers,3.7,5.0,2.3,7.98,0.25,94,8.4,28.4,08:05 AM,07:34 PM,2024-04-18 18:14
"Villa La Angostura, AR",-40.78,-71.67,2024-04-02,Moderate or heavy sleet,5.0,7.3,2.4,44.04,0.0,85,8.0,30.2,08:04 AM,07:36 PM,2024-04-18 18:13
"Villa La Angostura, AR",-40.78,-71.67,2024-04-01,Overcast,7.2,15.8,1.2,0.0,0.0,50,10.0,13.7,08:03 AM,07:38 PM,2024-04-18 18:13
"Villa La Angostura, AR",-40.78,-71.67,2024-03-31,Sunny,6.1,13.2,0.6,0.0,0.0,64,10.0,14.4,08:02 AM,07:39 PM,2024-04-18 18:15
"Villa La Angostura, AR",-40.78,-71.67,2024-03-30,Partly cloudy,6.2,12.1,3.0,0.01,0.0,68,10.0,20.2,08:01 AM,07:41 PM,2024-04-18 18:13
"Villa La Angostura, AR",-40.78,-71.67,2024-03-29,Patchy rain possible,11.9,15.6,5.7,0.37,0.0,67,10.0,19.4,08:00 AM,07:42 PM,2024-04-18 18:13
