Ciudad,Latitud,Longitud,Fecha,Forecast,Temperatura Promedio (째C),Temperatura Maxima (째C),Temperatura Minima (째C),Precipitaci처n (mm),Nieve (cm),Humedad(%),Visibilidad (km),Velocidad Viento(m/s),Amanecer (s),Atardecer (s),Forecast Time
"Villa La Angostura, AR",-40.78,-71.66,2024-04-22,Light drizzle,3.0,3.7,1.8,5.93,0.0,93,5.8,17.3,08:24 AM,07:05 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-04-21,Overcast,4.1,8.4,0.3,0.0,0.0,71,10.0,9.7,08:23 AM,07:07 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-04-20,Patchy rain possible,4.2,7.9,1.8,0.08,0.0,78,10.0,19.8,08:22 AM,07:08 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-04-19,Light rain shower,4.3,5.8,2.7,11.97,0.0,88,8.7,29.9,08:21 AM,07:09 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-04-18,Moderate rain at times,10.1,17.2,6.4,11.78,0.0,69,9.4,23.0,08:20 AM,07:11 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-04-17,Cloudy,8.2,13.5,4.7,0.01,0.0,77,10.0,19.1,08:19 AM,07:12 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-04-16,Light rain,7.8,9.7,6.5,4.1,0.0,86,9.0,24.8,08:18 AM,07:14 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-04-15,Sunny,7.6,13.1,4.4,0.03,0.0,78,10.0,23.8,08:17 AM,07:15 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-04-14,Patchy rain possible,6.9,10.4,5.3,0.33,0.0,86,8.7,9.0,08:16 AM,07:17 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-04-13,Patchy rain possible,5.8,6.5,5.3,0.88,0.0,85,10.0,14.4,08:15 AM,07:19 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-04-12,Cloudy,4.1,8.9,0.0,0.04,0.0,76,10.0,14.4,08:14 AM,07:20 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-04-11,Moderate or heavy snow showers,1.6,2.3,1.1,0.98,0.47,92,9.1,15.5,08:13 AM,07:22 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-04-10,Sunny,5.1,9.7,1.9,0.0,0.0,49,10.0,21.2,08:12 AM,07:23 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-04-09,Sunny,4.7,11.8,-0.7,0.0,0.0,65,10.0,11.5,08:11 AM,07:25 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-04-08,Light rain shower,9.4,12.0,3.3,19.77,0.0,86,8.8,23.0,08:10 AM,07:26 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-04-07,Light drizzle,8.7,10.0,7.4,3.75,0.0,93,6.9,18.0,08:09 AM,07:28 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-04-06,Light drizzle,7.4,9.0,5.6,1.11,0.0,89,9.0,22.3,08:08 AM,07:30 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-04-05,Partly cloudy,8.5,15.7,3.5,0.01,0.0,80,9.3,11.9,08:07 AM,07:31 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-04-04,Light drizzle,6.6,8.4,5.3,2.24,0.0,92,9.0,23.8,08:06 AM,07:33 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-04-03,Moderate or heavy snow showers,3.7,5.0,2.3,7.98,0.25,94,8.4,28.4,08:05 AM,07:34 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-04-02,Moderate or heavy sleet,5.0,7.3,2.4,44.04,0.0,85,8.0,30.2,08:04 AM,07:36 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-04-01,Overcast,7.2,15.8,1.2,0.0,0.0,50,10.0,13.7,08:03 AM,07:38 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-03-31,Sunny,6.1,13.2,0.6,0.0,0.0,64,10.0,14.4,08:02 AM,07:39 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-03-30,Partly cloudy,6.2,12.1,3.0,0.01,0.0,68,10.0,20.2,08:01 AM,07:41 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-03-29,Patchy rain possible,11.9,15.6,5.7,0.37,0.0,67,10.0,19.4,08:00 AM,07:42 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-03-28,Sunny,13.2,21.8,7.8,0.0,0.0,61,10.0,18.0,07:59 AM,07:44 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-27,Partly cloudy,12.6,18.8,7.8,0.0,0.0,67,10.0,11.2,07:58 AM,07:46 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-03-26,Patchy rain possible,13.4,17.9,10.7,0.83,0.0,80,10.0,14.4,07:56 AM,07:47 PM,2024-04-22 19:00
"Villa La Angostura, AR",-40.78,-71.66,2024-03-25,Sunny,13.1,20.1,8.6,0.0,0.0,61,10.0,13.0,07:55 AM,07:49 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-24,Partly cloudy,11.4,15.6,7.6,0.25,0.0,71,10.0,15.8,07:54 AM,07:51 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-23,Patchy rain possible,11.3,15.3,8.8,1.01,0.0,83,9.7,25.2,07:53 AM,07:52 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-22,Moderate rain,8.5,10.3,5.8,18.2,0.0,78,8.8,13.7,07:52 AM,07:54 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-21,Overcast,6.3,15.1,-0.6,0.0,0.0,65,10.0,15.8,07:51 AM,07:56 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-03-20,Moderate or heavy snow showers,3.9,7.1,0.7,17.29,0.3,78,9.4,24.1,07:50 AM,07:57 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-03-19,Moderate rain,7.2,10.4,4.3,63.09,0.0,88,7.5,37.1,07:49 AM,07:59 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-18,Partly cloudy,7.7,13.9,3.1,0.01,0.0,68,10.0,18.0,07:48 AM,08:00 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-17,Patchy rain possible,5.8,10.9,2.1,0.04,0.0,75,10.0,22.0,07:47 AM,08:02 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-16,Patchy rain possible,8.4,11.8,4.6,0.52,0.0,70,10.0,26.3,07:46 AM,08:04 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-03-15,Partly cloudy,7.4,12.9,3.4,0.21,0.0,75,10.0,25.9,07:45 AM,08:05 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-14,Patchy rain possible,7.6,13.2,4.4,0.16,0.0,71,10.0,27.0,07:44 AM,08:07 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-03-13,Light rain,7.1,10.2,4.7,15.67,0.0,87,9.1,25.9,07:43 AM,08:09 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-12,Moderate rain,10.2,13.2,7.4,13.76,0.0,84,8.5,24.5,07:42 AM,08:10 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-11,Partly cloudy,11.6,18.8,6.9,6.15,0.0,71,9.8,26.6,07:41 AM,08:12 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-10,Cloudy,10.7,17.2,5.4,0.11,0.0,72,10.0,25.9,07:39 AM,08:13 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-03-09,Light drizzle,8.4,13.0,5.4,4.06,0.0,81,8.1,38.5,07:38 AM,08:15 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-08,Light rain shower,6.7,8.8,4.5,22.41,0.0,87,8.7,31.7,07:37 AM,08:17 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-07,Sunny,10.9,19.3,5.3,0.0,0.0,48,10.0,26.3,07:36 AM,08:18 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-06,Sunny,11.7,19.7,5.4,0.01,0.0,58,10.0,16.9,07:35 AM,08:20 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-05,Overcast,12.6,22.1,5.5,0.0,0.0,45,10.0,22.7,07:34 AM,08:21 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-03-04,Sunny,12.7,20.6,6.3,0.0,0.0,46,10.0,15.5,07:33 AM,08:23 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-03-03,Partly cloudy,11.1,20.9,2.6,0.0,0.0,47,10.0,14.8,07:32 AM,08:25 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-02,Patchy rain possible,10.2,15.6,5.7,0.03,0.0,65,10.0,21.6,07:30 AM,08:26 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-03-01,Sunny,13.1,19.9,7.6,0.0,0.0,49,10.0,21.6,07:29 AM,08:28 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-02-29,Overcast,13.6,23.1,6.2,0.0,0.0,54,10.0,15.8,07:28 AM,08:29 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-02-28,Patchy rain possible,13.2,19.4,9.2,0.79,0.0,68,9.7,16.2,07:27 AM,08:31 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-02-27,Patchy rain possible,12.3,19.9,7.7,1.62,0.0,70,8.9,16.6,07:26 AM,08:32 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-02-26,Sunny,12.7,19.9,6.7,0.0,0.0,57,10.0,19.4,07:25 AM,08:34 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-02-25,Partly cloudy,13.4,20.6,8.6,0.0,0.0,49,10.0,17.6,07:23 AM,08:35 PM,2024-04-22 19:01
"Villa La Angostura, AR",-40.78,-71.66,2024-02-24,Partly cloudy,13.1,20.4,7.4,0.0,0.0,50,10.0,14.4,07:22 AM,08:37 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2024-02-23,Partly cloudy,11.5,19.4,5.3,0.06,0.0,61,10.0,18.7,07:21 AM,08:38 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2024-02-22,Light rain shower,9.7,14.4,7.1,2.7,0.0,73,8.7,25.2,07:20 AM,08:40 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-02-21,Patchy rain possible,13.0,20.0,8.8,6.03,0.0,67,9.5,23.8,07:19 AM,08:41 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2024-02-20,Overcast,16.3,23.3,11.4,0.0,0.0,56,10.0,24.8,07:17 AM,08:43 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-02-19,Sunny,19.6,27.9,12.7,0.0,0.0,44,10.0,14.0,07:16 AM,08:44 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-02-18,Sunny,16.5,23.3,9.6,0.0,0.0,43,10.0,6.1,07:15 AM,08:46 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-02-17,Patchy rain possible,14.3,21.3,8.7,0.08,0.0,56,10.0,17.6,07:14 AM,08:47 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-02-16,Sunny,16.6,24.6,10.6,0.0,0.0,46,10.0,22.0,07:12 AM,08:48 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2024-02-15,Sunny,17.9,26.7,11.2,0.0,0.0,42,10.0,18.7,07:11 AM,08:50 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-02-14,Overcast,18.0,27.0,11.0,0.0,0.0,46,10.0,18.4,07:10 AM,08:51 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-02-13,Sunny,16.2,24.8,8.5,0.0,0.0,44,10.0,7.2,07:09 AM,08:52 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2024-02-12,Sunny,12.2,19.8,4.0,0.01,0.0,58,10.0,13.7,07:07 AM,08:54 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-02-11,Partly cloudy,14.4,19.4,9.2,0.0,0.0,59,10.0,27.4,07:06 AM,08:55 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-02-10,Patchy rain possible,15.2,21.1,10.3,2.56,0.0,69,9.8,18.4,07:05 AM,08:56 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-02-09,Patchy light rain with thunder,14.7,22.7,9.9,14.81,0.0,66,9.5,21.6,07:04 AM,08:57 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2024-02-08,Partly cloudy,14.1,21.8,8.5,0.1,0.0,46,10.0,10.8,07:02 AM,08:59 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-02-07,Patchy rain possible,13.0,18.5,8.9,0.4,0.0,61,10.0,28.1,07:01 AM,09:00 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2024-02-06,Patchy rain possible,15.0,20.5,11.1,1.31,0.0,71,9.3,29.2,07:00 AM,09:01 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2024-02-05,Overcast,15.2,20.6,10.0,0.02,0.0,56,10.0,18.7,06:59 AM,09:02 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-02-04,Sunny,16.2,25.7,8.3,0.0,0.0,35,10.0,22.3,06:57 AM,09:03 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2024-02-03,Partly cloudy,13.6,22.1,4.8,0.0,0.0,54,10.0,19.8,06:56 AM,09:04 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-02-02,Patchy rain possible,15.4,20.6,11.6,0.45,0.0,70,10.0,32.8,06:55 AM,09:05 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2024-02-01,Partly cloudy,16.1,23.9,10.2,0.0,0.0,67,10.0,19.1,06:53 AM,09:06 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-01-31,Sunny,15.7,22.5,8.6,0.0,0.0,60,10.0,26.6,06:52 AM,09:07 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-01-30,Sunny,15.5,22.8,8.8,0.0,0.0,48,10.0,23.8,06:51 AM,09:08 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2024-01-29,Overcast,15.2,23.9,7.5,0.0,0.0,39,10.0,18.4,06:50 AM,09:09 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-01-28,Partly cloudy,16.3,23.3,10.4,0.1,0.0,50,10.0,22.7,06:48 AM,09:10 PM,2024-04-22 19:02
"Villa La Angostura, AR",-40.78,-71.66,2024-01-27,Overcast,16.0,23.8,9.8,0.01,0.0,61,10.0,15.5,06:47 AM,09:11 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2024-01-26,Overcast,18.0,24.9,11.9,0.0,0.0,52,10.0,23.8,06:46 AM,09:12 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2024-01-25,Overcast,18.1,26.7,10.6,0.0,0.0,51,10.0,16.9,06:45 AM,09:13 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-01-24,Sunny,16.8,25.7,9.0,0.0,0.0,45,10.0,23.4,06:43 AM,09:13 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2024-01-23,Sunny,19.3,26.8,12.8,0.0,0.0,49,10.0,22.0,06:42 AM,09:14 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2024-01-22,Sunny,20.0,28.5,13.0,0.47,0.0,41,10.0,17.6,06:41 AM,09:15 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-01-21,Sunny,17.7,26.5,10.3,0.0,0.0,44,10.0,13.7,06:40 AM,09:16 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-01-20,Sunny,17.0,26.3,10.1,0.0,0.0,50,10.0,15.8,06:38 AM,09:16 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-01-19,Sunny,14.6,24.3,5.6,0.0,0.0,48,10.0,15.1,06:37 AM,09:17 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-01-18,Sunny,11.9,19.0,5.1,0.3,0.0,56,10.0,23.4,06:36 AM,09:17 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-01-17,Overcast,15.0,23.4,8.7,0.0,0.0,56,10.0,31.0,06:35 AM,09:18 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2024-01-16,Sunny,12.8,21.4,4.7,0.0,0.0,60,10.0,14.8,06:34 AM,09:18 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-01-15,Patchy rain possible,12.4,17.3,8.0,0.06,0.0,72,10.0,19.8,06:32 AM,09:19 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-01-14,Patchy rain possible,10.1,14.2,6.8,0.32,0.0,75,10.0,23.8,06:31 AM,09:19 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-01-13,Sunny,11.6,17.4,6.4,0.0,0.0,60,10.0,28.1,06:30 AM,09:20 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-01-12,Partly cloudy,13.5,21.4,6.0,0.0,0.0,49,10.0,23.4,06:29 AM,09:20 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2024-01-11,Sunny,14.1,22.7,8.1,0.0,0.0,53,10.0,22.0,06:28 AM,09:20 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2024-01-10,Sunny,12.5,21.7,3.6,0.0,0.0,53,10.0,12.6,06:27 AM,09:21 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2024-01-09,Sunny,11.5,19.5,4.0,0.0,0.0,52,10.0,18.7,06:26 AM,09:21 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-01-08,Sunny,11.7,19.7,4.9,0.03,0.0,58,10.0,20.9,06:25 AM,09:21 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-01-07,Patchy rain possible,12.0,16.9,7.8,0.41,0.0,67,10.0,26.3,06:24 AM,09:21 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-01-06,Light rain shower,12.4,16.9,9.8,5.08,0.0,80,9.3,23.4,06:23 AM,09:21 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2024-01-05,Patchy rain possible,14.5,20.3,10.2,0.18,0.0,65,10.0,37.1,06:22 AM,09:22 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-01-04,Partly cloudy,16.1,23.4,10.4,0.0,0.0,49,10.0,26.3,06:21 AM,09:22 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2024-01-03,Sunny,16.4,24.2,8.1,0.0,0.0,49,10.0,18.7,06:20 AM,09:22 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2024-01-02,Partly cloudy,16.0,24.0,8.3,0.0,0.0,49,10.0,19.8,06:19 AM,09:22 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2024-01-01,Overcast,15.1,23.2,8.2,0.0,0.0,60,10.0,19.1,06:18 AM,09:21 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2023-12-31,Sunny,14.7,21.8,7.8,0.0,0.0,55,10.0,20.9,06:18 AM,09:21 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-12-30,Overcast,16.6,24.6,9.9,0.0,0.0,52,10.0,21.2,06:17 AM,09:21 PM,2024-04-22 19:03
"Villa La Angostura, AR",-40.78,-71.66,2023-12-29,Partly cloudy,13.7,21.8,5.6,0.0,0.0,57,10.0,15.1,06:16 AM,09:21 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-28,Sunny,14.3,21.5,8.2,0.0,0.0,60,10.0,22.7,06:15 AM,09:21 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-12-27,Sunny,17.7,24.8,11.6,0.0,0.0,55,10.0,20.9,06:15 AM,09:20 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-26,Sunny,18.7,26.0,11.9,0.0,0.0,46,10.0,14.4,06:14 AM,09:20 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-25,Sunny,15.6,23.4,7.2,0.0,0.0,54,10.0,7.6,06:13 AM,09:20 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-24,Overcast,13.7,20.7,6.7,0.0,0.0,52,10.0,16.6,06:13 AM,09:19 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-12-23,Sunny,13.2,22.4,4.3,0.0,0.0,59,10.0,15.5,06:12 AM,09:19 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-12-22,Sunny,13.1,19.8,6.9,0.0,0.0,61,10.0,18.7,06:12 AM,09:19 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-12-21,Sunny,13.6,20.8,6.6,0.0,0.0,62,10.0,20.5,06:11 AM,09:18 PM,2024-04-22 19:04
