Ciudad,Latitud,Longitud,Fecha,Forecast,Temperatura Promedio (째C),Temperatura Maxima (째C),Temperatura Minima (째C),Precipitaci처n (mm),Nieve (cm),Humedad(%),Visibilidad (km),Velocidad Viento(m/s),Amanecer (s),Atardecer (s),Forecast Time
"Villa La Angostura, AR",-40.78,-71.66,2023-12-20,Patchy rain possible,11.2,17.4,4.7,0.33,0.0,69,10.0,16.6,06:11 AM,09:18 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-19,Patchy rain possible,7.5,11.3,5.6,0.36,0.0,68,10.0,18.4,06:10 AM,09:17 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-18,Sunny,8.1,16.3,0.3,0.0,0.0,56,10.0,16.6,06:10 AM,09:16 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-17,Patchy rain possible,5.9,10.9,2.6,1.54,0.0,70,9.3,25.6,06:10 AM,09:16 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-12-16,Patchy light drizzle,8.1,15.7,2.8,1.01,0.0,72,9.8,28.1,06:09 AM,09:15 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-15,Patchy rain possible,10.3,16.1,5.6,0.15,0.0,59,10.0,30.6,06:09 AM,09:14 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-14,Cloudy,10.4,16.6,3.9,0.01,0.0,52,10.0,32.8,06:09 AM,09:14 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-13,Sunny,10.8,18.5,3.1,0.0,0.0,52,10.0,22.7,06:09 AM,09:13 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-12,Patchy rain possible,9.1,15.5,4.2,0.24,0.0,64,10.0,18.7,06:09 AM,09:12 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-12-11,Patchy rain possible,11.9,17.0,8.1,0.74,0.0,68,10.0,27.0,06:09 AM,09:11 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-10,Overcast,13.2,22.1,5.3,0.0,0.0,54,10.0,18.7,06:08 AM,09:11 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-09,Partly cloudy,10.5,17.0,5.9,0.03,0.0,61,10.0,18.7,06:08 AM,09:10 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-12-08,Sunny,12.3,18.0,7.1,0.0,0.0,62,10.0,27.7,06:08 AM,09:09 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-07,Partly cloudy,12.8,20.4,6.1,0.0,0.0,59,10.0,13.3,06:08 AM,09:08 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-12-06,Sunny,11.8,18.8,5.7,0.03,0.0,65,10.0,20.5,06:09 AM,09:07 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-05,Sunny,13.4,20.1,8.1,0.0,0.0,52,10.0,19.8,06:09 AM,09:06 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-12-04,Cloudy,10.8,17.3,2.9,0.0,0.0,52,10.0,7.2,06:09 AM,09:05 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-03,Sunny,5.8,13.2,-2.6,0.0,0.0,58,10.0,15.1,06:09 AM,09:04 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-12-02,Patchy light snow,3.7,7.6,0.0,0.51,0.11,68,9.9,20.2,06:09 AM,09:03 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-12-01,Light rain shower,6.2,9.3,3.2,4.13,0.0,90,7.1,23.0,06:10 AM,09:02 PM,2024-04-22 19:04
"Villa La Angostura, AR",-40.78,-71.66,2023-11-30,Patchy rain possible,11.6,17.8,7.3,0.11,0.0,72,10.0,25.9,06:10 AM,09:01 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-29,Patchy rain possible,5.9,7.5,2.8,1.5,0.0,84,9.0,20.9,06:10 AM,09:00 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-28,Patchy rain possible,10.1,14.5,5.9,0.04,0.0,62,10.0,29.2,06:11 AM,08:59 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-27,Sunny,13.6,20.8,8.6,0.05,0.0,65,10.0,31.3,06:11 AM,08:58 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-11-26,Overcast,13.5,20.6,7.5,0.0,0.0,57,10.0,11.9,06:12 AM,08:57 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-11-25,Sunny,13.8,21.0,6.9,0.0,0.0,59,10.0,19.1,06:12 AM,08:55 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-24,Sunny,13.7,22.0,6.7,0.0,0.0,51,10.0,15.1,06:13 AM,08:54 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-23,Sunny,8.5,16.3,-0.2,0.0,0.0,64,10.0,11.2,06:13 AM,08:53 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-22,Patchy light snow,5.3,9.1,1.4,0.51,0.0,74,10.0,18.4,06:14 AM,08:52 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-11-21,Light sleet,5.3,8.9,2.5,1.89,0.0,83,9.9,28.1,06:15 AM,08:51 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-20,Light rain shower,4.8,7.2,2.5,17.34,0.0,87,9.2,28.8,06:15 AM,08:50 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-11-19,Light rain,4.1,5.5,2.0,12.73,0.0,97,7.0,21.6,06:16 AM,08:48 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-11-18,Moderate or heavy snow showers,2.1,4.8,-0.1,5.19,1.17,90,4.4,33.1,06:17 AM,08:47 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-11-17,Moderate or heavy snow showers,2.2,3.3,-0.3,20.99,5.66,90,5.4,34.9,06:17 AM,08:46 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-16,Moderate snow,3.1,4.5,1.5,42.52,0.66,95,7.5,27.4,06:18 AM,08:45 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-15,Light sleet showers,2.1,4.6,0.2,3.22,1.97,87,7.5,26.3,06:19 AM,08:44 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-14,Light snow showers,2.0,5.3,-0.9,0.39,0.05,74,10.0,20.9,06:20 AM,08:42 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-13,Light sleet showers,2.1,6.0,-1.0,1.85,0.0,87,9.5,27.7,06:21 AM,08:41 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-12,Light snow showers,1.2,5.5,-3.3,0.53,0.22,74,10.0,21.2,06:22 AM,08:40 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-11,Moderate or heavy snow showers,2.3,4.7,-2.8,16.07,4.77,83,7.9,33.8,06:23 AM,08:39 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-10,Sunny,8.4,13.9,3.7,0.05,0.0,61,10.0,29.5,06:24 AM,08:37 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-09,Sunny,7.6,15.7,0.5,0.0,0.0,69,10.0,10.8,06:25 AM,08:36 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-08,Moderate snow,5.0,10.0,1.1,0.99,0.76,84,8.8,17.3,06:26 AM,08:35 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-11-07,Moderate or heavy snow with thunder,4.2,5.3,2.4,7.28,0.52,92,8.8,25.9,06:27 AM,08:34 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-11-06,Light rain,6.7,9.6,4.5,8.95,0.0,88,8.5,13.7,06:28 AM,08:33 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-05,Light rain shower,6.8,8.0,5.1,6.53,0.0,89,5.1,18.4,06:29 AM,08:31 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-11-04,Patchy rain possible,9.4,16.2,3.2,0.86,0.0,70,9.3,22.3,06:30 AM,08:30 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-11-03,Patchy rain possible,6.2,11.6,1.4,0.03,0.0,70,10.0,16.6,06:32 AM,08:29 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-02,Patchy rain possible,4.7,10.1,-0.4,0.54,0.0,83,10.0,17.6,06:33 AM,08:28 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-11-01,Moderate or heavy snow showers,1.3,4.1,-1.2,5.13,3.85,94,6.0,18.7,06:34 AM,08:27 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-10-31,Patchy rain possible,-0.5,6.5,-7.2,1.26,0.12,84,9.8,8.3,06:35 AM,08:25 PM,2024-04-22 19:05
"Villa La Angostura, AR",-40.78,-71.66,2023-10-30,Moderate or heavy snow showers,-0.7,2.7,-5.5,10.22,8.31,86,7.2,22.3,06:37 AM,08:24 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-10-29,Moderate or heavy snow with thunder,-0.5,1.7,-2.5,18.65,10.19,86,4.0,34.2,06:38 AM,08:23 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-28,Moderate or heavy rain with thunder,2.5,4.6,-0.9,70.39,1.52,94,4.4,40.3,06:39 AM,08:22 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-27,Light rain,4.8,6.1,3.3,17.82,0.0,89,7.9,38.9,06:41 AM,08:21 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-10-26,Partly cloudy,7.1,12.3,2.3,0.0,0.0,71,10.0,20.2,06:42 AM,08:19 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-25,Sunny,9.5,17.0,2.8,0.0,0.0,57,10.0,16.9,06:43 AM,08:18 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-24,Sunny,9.7,16.7,3.3,0.0,0.0,60,10.0,15.8,06:45 AM,08:17 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-23,Patchy rain possible,9.8,16.2,5.1,0.21,0.0,65,10.0,19.4,06:46 AM,08:16 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-22,Patchy rain possible,10.3,17.0,4.4,0.29,0.0,64,10.0,9.0,06:48 AM,08:15 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-10-21,Partly cloudy,9.6,16.0,3.9,0.0,0.0,64,10.0,13.3,06:49 AM,08:14 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-20,Overcast,10.8,17.0,5.3,0.0,0.0,58,10.0,14.8,06:51 AM,08:13 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-19,Overcast,10.9,16.6,6.2,0.0,0.0,61,10.0,14.4,06:52 AM,08:11 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-18,Sunny,11.9,19.4,6.3,0.0,0.0,50,10.0,23.0,06:54 AM,08:10 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-17,Sunny,9.7,17.7,2.3,0.0,0.0,53,10.0,7.9,06:55 AM,08:09 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-10-16,Partly cloudy,4.4,10.6,-1.4,0.0,0.0,67,10.0,12.6,06:57 AM,08:08 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-15,Partly cloudy,5.1,11.2,-0.5,0.01,0.0,68,10.0,20.5,06:58 AM,08:07 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-10-14,Partly cloudy,6.8,14.2,1.1,0.0,0.0,69,10.0,15.5,07:00 AM,08:06 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-13,Sunny,7.5,14.8,1.9,0.0,0.0,68,10.0,12.2,07:02 AM,08:05 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-12,Sunny,5.9,13.3,-0.5,0.0,0.0,68,10.0,11.2,07:03 AM,08:04 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-11,Sunny,5.0,12.4,-1.1,0.0,0.0,65,10.0,9.0,07:05 AM,08:03 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-10-10,Moderate or heavy snow showers,3.3,6.1,-1.0,1.07,0.36,77,9.5,20.2,07:06 AM,08:02 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-10-09,Light snow showers,4.8,8.0,3.0,1.0,0.06,83,10.0,24.1,07:08 AM,08:01 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-08,Patchy rain possible,3.6,5.7,1.5,0.34,0.0,86,10.0,28.1,07:10 AM,08:00 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-10-07,Light freezing rain,2.3,5.6,-0.4,0.12,0.0,80,10.0,21.2,07:11 AM,07:59 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-06,Heavy snow,2.8,5.0,0.4,4.16,3.37,80,8.4,26.3,07:13 AM,07:58 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-05,Patchy rain possible,3.3,7.2,0.5,0.38,0.2,78,9.7,26.6,07:15 AM,07:57 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-04,Sunny,5.2,10.7,0.3,0.0,0.0,70,10.0,18.0,07:16 AM,07:56 PM,2024-04-22 19:06
"Villa La Angostura, AR",-40.78,-71.66,2023-10-03,Patchy rain possible,4.6,10.9,-0.5,0.06,0.0,69,10.0,16.9,07:18 AM,07:55 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-10-02,Patchy rain possible,4.1,6.5,1.8,0.46,0.0,81,10.0,16.6,07:20 AM,07:53 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-10-01,Partly cloudy,7.0,11.7,3.9,0.04,0.0,69,10.0,20.9,07:21 AM,07:52 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-09-30,Overcast,6.4,13.7,0.2,0.0,0.0,69,10.0,11.5,07:23 AM,07:51 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-29,Sunny,4.6,11.4,-0.8,0.0,0.0,68,10.0,7.2,07:25 AM,07:50 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-28,Moderate or heavy snow showers,1.3,4.9,-1.8,2.27,1.81,82,8.6,18.7,07:26 AM,07:49 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-27,Heavy snow,1.8,3.9,-0.6,9.11,4.58,91,7.3,22.0,07:28 AM,07:48 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-26,Light snow,1.0,3.9,-2.4,0.16,0.02,79,10.0,20.9,07:30 AM,07:47 PM,2024-04-22 19:09
"Villa La Angostura, AR",-40.78,-71.66,2023-09-25,Patchy rain possible,1.5,7.7,-3.6,0.01,0.0,72,10.0,14.8,07:31 AM,07:46 PM,2024-04-22 19:09
"Villa La Angostura, AR",-40.78,-71.66,2023-09-24,Light snow showers,1.4,5.4,-1.5,0.6,0.35,85,9.3,13.3,07:33 AM,07:45 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-23,Light freezing rain,1.1,4.4,-1.5,0.22,0.11,82,10.0,16.9,07:35 AM,07:44 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-22,Heavy snow,2.5,4.5,0.8,10.67,5.42,97,4.7,15.1,07:36 AM,07:44 PM,2024-04-22 19:09
"Villa La Angostura, AR",-40.78,-71.66,2023-09-21,Moderate or heavy snow showers,1.3,3.7,0.1,21.94,14.72,98,4.5,8.6,07:38 AM,07:43 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-20,Patchy light snow,2.2,7.0,-1.2,1.91,0.0,82,9.7,13.3,07:40 AM,07:42 PM,2024-04-22 19:09
"Villa La Angostura, AR",-40.78,-71.66,2023-09-19,Partly cloudy,-0.4,6.6,-5.0,0.02,0.0,72,10.0,7.9,07:42 AM,07:41 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-18,Overcast,-1.7,4.1,-5.6,0.0,0.0,78,10.0,9.7,07:43 AM,07:40 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-17,Moderate or heavy snow showers,-0.9,2.7,-4.9,3.7,2.98,80,8.3,18.0,07:45 AM,07:39 PM,2024-04-22 19:09
"Villa La Angostura, AR",-40.78,-71.66,2023-09-16,Moderate or heavy snow showers,0.5,2.6,-1.5,19.3,15.73,88,4.8,29.5,07:47 AM,07:38 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-15,Moderate or heavy sleet,3.9,6.8,0.3,100.8,3.06,96,7.5,29.5,07:48 AM,07:37 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-14,Moderate rain,3.6,6.7,1.4,39.6,15.3,96,7.6,31.0,07:50 AM,07:36 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-13,Overcast,2.3,4.3,0.9,0.0,0.0,90,9.7,20.9,07:52 AM,07:35 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-12,Overcast,2.1,3.8,0.3,0.0,0.0,88,10.0,18.4,07:53 AM,07:34 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-11,Moderate or heavy snow showers,1.1,3.5,-1.7,5.4,4.59,87,8.5,25.6,07:55 AM,07:33 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-10,Heavy snow,0.9,4.0,-2.6,12.0,9.69,92,7.3,19.4,07:56 AM,07:32 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-09,Heavy snow,1.3,3.9,-0.6,39.5,20.91,95,7.8,19.8,07:58 AM,07:31 PM,2024-04-22 19:09
"Villa La Angostura, AR",-40.78,-71.66,2023-09-08,Moderate or heavy snow showers,1.4,3.5,0.0,2.3,1.62,94,7.1,13.3,08:00 AM,07:30 PM,2024-04-22 19:09
"Villa La Angostura, AR",-40.78,-71.66,2023-09-07,Light sleet showers,1.1,2.8,0.1,16.3,13.26,95,4.9,14.4,08:01 AM,07:29 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-06,Light sleet showers,1.5,3.6,-0.4,43.6,28.82,94,6.5,14.8,08:03 AM,07:28 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-05,Heavy snow,-0.0,3.2,-2.2,11.3,9.35,89,6.8,11.5,08:05 AM,07:27 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-04,Patchy moderate snow,-1.5,2.8,-5.3,2.3,1.87,82,8.8,7.2,08:06 AM,07:26 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-03,Light snow showers,-2.2,1.9,-5.3,0.4,0.17,79,10.0,11.2,08:08 AM,07:25 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-02,Moderate or heavy snow showers,-1.2,2.5,-4.1,0.5,0.34,85,9.9,23.0,08:09 AM,07:24 PM,2024-04-22 19:07
"Villa La Angostura, AR",-40.78,-71.66,2023-09-01,Moderate or heavy snow showers,1.5,2.9,-2.4,15.9,7.06,88,7.7,30.6,08:11 AM,07:23 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-08-31,Light snow showers,0.6,2.8,-0.7,9.4,7.99,90,8.1,20.9,08:13 AM,07:22 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-08-30,Moderate or heavy snow showers,1.2,2.4,-0.5,27.3,22.7,86,6.7,29.9,08:14 AM,07:21 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-08-29,Patchy heavy snow,0.8,5.1,-2.4,8.0,6.8,82,8.7,25.6,08:16 AM,07:20 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-08-28,Light snow showers,2.3,3.7,-1.7,17.1,6.38,87,8.1,22.7,08:17 AM,07:19 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-08-27,Light drizzle,2.3,6.6,-1.0,0.7,0.0,78,8.8,17.6,08:19 AM,07:18 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-08-26,Sunny,-0.3,5.6,-5.0,0.0,0.0,74,10.0,11.9,08:20 AM,07:17 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-08-25,Partly cloudy,-2.0,2.7,-5.6,0.0,0.0,79,10.0,15.5,08:22 AM,07:16 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-08-24,Cloudy,-1.1,2.6,-3.9,0.0,0.0,83,10.0,14.4,08:23 AM,07:15 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-08-23,Patchy moderate snow,-0.7,2.0,-2.6,7.2,4.17,84,9.6,15.5,08:25 AM,07:14 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-08-22,Patchy moderate snow,0.8,2.7,-0.4,14.35,9.65,88,5.4,17.2,08:26 AM,07:13 PM,2024-04-22 19:08
"Villa La Angostura, AR",-40.78,-71.66,2023-08-21,Moderate or heavy snow showers,1.6,2.6,-0.2,43.6,7.1,91,5.7,18.4,08:28 AM,07:12 PM,2024-04-22 19:08
